K00001	E1.1.1.1	alcohol dehydrogenase
K00858	ppnK	NAD+ kinase
K00859	coaE	dephospho-CoA kinase
K00860	cysC	adenylylsulfate kinase
K00862	eryA	erythritol kinase (D-erythritol 1-phosphate-forming)
K00863	DAK	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)
K00864	glpK	glycerol kinase
K00865	glxK	glycerate 2-kinase
K00867	coaA	type I pantothenate kinase
K00868	pdxK	pyridoxine kinase
K00869	MVK	mevalonate kinase
K00872	thrB	homoserine kinase
K00873	PK	pyruvate kinase
K00874	kdgK	2-dehydro-3-deoxygluconokinase
K00876	udk	uridine kinase
K00878	thiM	hydroxyethylthiazole kinase
K00879	fucK	L-fuculokinase
K00880	lyxK	L-xylulokinase
K00881	alsK	allose kinase
K00882	fruK	1-phosphofructokinase
K00883	dgoK	2-dehydro-3-deoxygalactonokinase
K00884	NAGK	N-acetylglucosamine kinase
K00885	nanK	N-acylmannosamine kinase
K00886	ppgK	polyphosphate glucokinase
K00887	dgkA	undecaprenol kinase
K00891	aroK	shikimate kinase
K00892	gsk	inosine kinase
K00895	pfp	diphosphate-dependent phosphofructokinase
K00897	aphA	kanamycin kinase
K00899	mtnK	5-methylthioribose kinase
K00901	dgkA	diacylglycerol kinase (ATP)
K00903	epsB, capB	protein-tyrosine kinase
K00906	aceK	isocitrate dehydrogenase kinase/phosphatase
K00912	lpxK	tetraacyldisaccharide 4'-kinase
K00917	lacC	tagatose 6-phosphate kinase
K00918	pfkC	ADP-dependent phosphofructokinase/glucokinase
K00919	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
K00925	ackA	acetate kinase
K00926	arcC	carbamate kinase
K00927	PGK	phosphoglycerate kinase
K00928	lysC	aspartate kinase
K00929	buk	butyrate kinase
K00930	argB	acetylglutamate kinase
K00931	proB	glutamate 5-kinase
K00932	tdcD	propionate kinase
K00936	pdtaS	two-component system, sensor histidine kinase PdtaS
K00937	ppk1	polyphosphate kinase
K00938	E2.7.4.2	phosphomevalonate kinase
K00939	adk	adenylate kinase
K00940	ndk	nucleoside-diphosphate kinase
K00941	thiD	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
K00942	gmk	guanylate kinase
K00943	tmk	dTMP kinase
K00945	cmk	CMP/dCMP kinase
K00946	thiL	thiamine-monophosphate kinase
K00948	PRPS	ribose-phosphate pyrophosphokinase
K00949	thiN	thiamine pyrophosphokinase
K00950	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
K00951	relA	GTP pyrophosphokinase
K00952	nadM	nicotinamide-nucleotide adenylyltransferase
K00954	E2.7.7.3A	pantetheine-phosphate adenylyltransferase
K00955	cysNC	bifunctional enzyme CysN/CysC
K00956	cysN	sulfate adenylyltransferase subunit 1
K00957	cysD	sulfate adenylyltransferase subunit 2
K00958	sat	sulfate adenylyltransferase
K00962	pnp	polyribonucleotide nucleotidyltransferase
K00963	UGP2	UTP--glucose-1-phosphate uridylyltransferase
K00965	galT	UDPglucose--hexose-1-phosphate uridylyltransferase
K00966	GMPP	mannose-1-phosphate guanylyltransferase
K00968	PCYT1	choline-phosphate cytidylyltransferase
K00969	nadD	nicotinate-nucleotide adenylyltransferase
K00970	pcnB	poly(A) polymerase
K00971	manC	mannose-1-phosphate guanylyltransferase
K00972	UAP1	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase
K00973	rfbA	glucose-1-phosphate thymidylyltransferase
K00974	cca	tRNA nucleotidyltransferase (CCA-adding enzyme)
K00975	glgC	glucose-1-phosphate adenylyltransferase
K00978	rfbF	glucose-1-phosphate cytidylyltransferase
K00979	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)
K00980	tagD	glycerol-3-phosphate cytidylyltransferase
K00981	E2.7.7.41	phosphatidate cytidylyltransferase
K00982	glnE	[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
K00983	neuA	N-acylneuraminate cytidylyltransferase
K00984	aadA	streptomycin 3"-adenylyltransferase
K00986	ltrA	RNA-directed DNA polymerase
K00988	APA1_2	sulfate adenylyltransferase (ADP) / ATP adenylyltransferase
K00989	rph	ribonuclease PH
K00990	glnD	[protein-PII] uridylyltransferase
K00991	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
K00992	murU	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase
K00995	pgsA	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase
K00996	rfbP	undecaprenyl-phosphate galactose phosphotransferase
K00997	acpS	holo-[acyl-carrier protein] synthase
K00998	pssA	CDP-diacylglycerol---serine O-phosphatidyltransferase
K01000	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase
K01001	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
K01002	mdoB	phosphoglycerol transferase
K01003	bcpA	oxaloacetate decarboxylase
K01004	pcs	phosphatidylcholine synthase
K01006	ppdK	pyruvate, orthophosphate dikinase
K01007	pps	pyruvate, water dikinase
K01008	selD	selenide, water dikinase
K01011	TST	thiosulfate/3-mercaptopyruvate sulfurtransferase
K01012	bioB	biotin synthase
K01023	assT	arylsulfate sulfotransferase
K01026	pct	propionate CoA-transferase
K01027	OXCT	3-oxoacid CoA-transferase
K01028	scoA	3-oxoacid CoA-transferase subunit A
K01029	scoB	3-oxoacid CoA-transferase subunit B
K01031	pcaI	3-oxoadipate CoA-transferase, alpha subunit
K01032	pcaJ	3-oxoadipate CoA-transferase, beta subunit
K01034	atoD	acetate CoA/acetoacetate CoA-transferase alpha subunit
K01035	atoA	acetate CoA/acetoacetate CoA-transferase beta subunit
K01039	gctA	glutaconate CoA-transferase, subunit A
K01040	gctB	glutaconate CoA-transferase, subunit B
K01042	selA	L-seryl-tRNA(Ser) seleniumtransferase
K01046	lip	triacylglycerol lipase
K01048	pldB	lysophospholipase
K01051	E3.1.1.11	pectinesterase
K01053	gnl	gluconolactonase
K01055	pcaD	3-oxoadipate enol-lactonase
K01056	PTH1, PTRH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family
K01057	PGLS	6-phosphogluconolactonase
K01058	pldA	phospholipase A1/A2
K01060	cah	cephalosporin-C deacetylase
K01061	E3.1.1.45	carboxymethylenebutenolidase
K01066	aes	acetyl esterase
K01067	E3.1.2.1	acetyl-CoA hydrolase
K01069	gloB	hydroxyacylglutathione hydrolase
K01070	frmB	S-formylglutathione hydrolase
K01071	MCH	medium-chain acyl-[acyl-carrier-protein] hydrolase
K01073	E3.1.2.20	acyl-CoA hydrolase
K01075	E3.1.2.23	4-hydroxybenzoyl-CoA thioesterase
K01077	E3.1.3.1	alkaline phosphatase
K01078	PHO	acid phosphatase
K01079	serB	phosphoserine phosphatase
K01081	E3.1.3.5	5'-nucleotidase
K01082	cysQ	3'(2'), 5'-bisphosphate nucleotidase
K01083	E3.1.3.8	3-phytase
K01085	agp	glucose-1-phosphatase
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
K01087	otsB	trehalose 6-phosphate phosphatase
K01089	hisB	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase
K01090	E3.1.3.16	protein phosphatase
K01091	gph	phosphoglycolate phosphatase
K01092	E3.1.3.25	myo-inositol-1(or 4)-monophosphatase
K01093	appA	4-phytase / acid phosphatase
K01095	pgpA	phosphatidylglycerophosphatase A
K01096	pgpB	phosphatidylglycerophosphatase B
K01101	E3.1.3.41	4-nitrophenyl phosphatase
K01103	PFKFB3	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3
K01104	E3.1.3.48	protein-tyrosine phosphatase
K01113	phoD	alkaline phosphatase D
K01114	plc	phospholipase C
K01115	PLD1_2	phospholipase D1/2
K01118	acpD, azoR	FMN-dependent NADH-azoreductase
K01119	cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase
K01120	cpdP	3',5'-cyclic-nucleotide phosphodiesterase
K01121	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase
K01126	E3.1.4.46	glycerophosphoryl diester phosphodiesterase
K01129	dgt	dGTPase
K01130	E3.1.6.1	arylsulfatase
K01133	betC	choline-sulfatase
K01134	ARSA	arylsulfatase A
K01135	ARSB	arylsulfatase B
K01136	IDS	iduronate 2-sulfatase
K01137	GNS	N-acetylglucosamine-6-sulfatase
K01138	K01138	uncharacterized sulfatase
K01139	spoT	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase
K01141	sbcB	exodeoxyribonuclease I
K01142	E3.1.11.2	exodeoxyribonuclease III
K01143	exo	Enterobacteriaceae phage exonuclease
K01146	xni	protein Xni
K01147	rnb	exoribonuclease II
K01150	endA	deoxyribonuclease I
K01151	nfo	deoxyribonuclease IV
K01153	hsdR	type I restriction enzyme, R subunit
K01154	hsdS	type I restriction enzyme, S subunit
K01155	E3.1.21.4	type II restriction enzyme
K01156	res	type III restriction enzyme
K01159	ruvC	crossover junction endodeoxyribonuclease RuvC
K01160	rusA	crossover junction endodeoxyribonuclease RusA
K01161	E3.1.25.1	deoxyribonuclease (pyrimidine dimer)
K01163	K01163	uncharacterized protein
K01166	RNASET2	ribonuclease T2
K01167	rnaSA	ribonuclease T1
K01169	rna	ribonuclease I (enterobacter ribonuclease)
K01170	endA	tRNA-intron endonuclease, archaea type
K01173	ENDOG	endonuclease G, mitochondrial
K01174	nuc	micrococcal nuclease
K01175	ybfF	esterase
K01176	AMY	alpha-amylase
K01179	E3.2.1.4	endoglucanase
K01181	E3.2.1.8, xynA	endo-1,4-beta-xylanase
K01182	IMA	oligo-1,6-glucosidase
K01183	E3.2.1.14	chitinase
K01184	E3.2.1.15	polygalacturonase
K01185	E3.2.1.17	lysozyme
K01186	NEU1	sialidase-1
K01187	malZ	alpha-glucosidase
K01188	E3.2.1.21	beta-glucosidase
K01190	lacZ	beta-galactosidase
K01191	MAN2C1	alpha-mannosidase
K01192	E3.2.1.25	beta-mannosidase
K01193	INV	beta-fructofuranosidase
K01194	TREH	alpha,alpha-trehalase
K01195	uidA	beta-glucuronidase
K01197	hya	hyaluronoglucosaminidase
K01198	xynB	xylan 1,4-beta-xylosidase
K01200	pulA	pullulanase
K01201	GBA	glucosylceramidase
K01202	GALC	galactosylceramidase
K01205	NAGLU	alpha-N-acetylglucosaminidase
K01206	FUCA	alpha-L-fucosidase
K01207	nagZ	beta-N-acetylhexosaminidase
K01208	cd	cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase
K01209	abfA	alpha-L-arabinofuranosidase
K01210	E3.2.1.58	glucan 1,3-beta-glucosidase
K01212	sacC	levanase
K01213	E3.2.1.67	galacturan 1,4-alpha-galacturonidase
K01214	ISA	isoamylase
K01215	dexB	glucan 1,6-alpha-glucosidase
K01216	bglS	licheninase
K01218	gmuG	mannan endo-1,4-beta-mannosidase
K01219	E3.2.1.81	beta-agarase
K01220	E3.2.1.85	6-phospho-beta-galactosidase
K01222	E3.2.1.86A	6-phospho-beta-glucosidase
K01223	E3.2.1.86B	6-phospho-beta-glucosidase
K01224	E3.2.1.89	arabinogalactan endo-1,4-beta-galactosidase
K01226	treC	trehalose-6-phosphate hydrolase
K01227	ENGASE	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
K01230	MAN1A_C	mannosyl-oligosaccharide alpha-1,2-mannosidase
K01232	glvA	maltose-6'-phosphate glucosidase
K01233	csn	chitosanase
K01235	aguA	alpha-glucuronidase
K01236	treZ	maltooligosyltrehalose trehalohydrolase
K01239	E3.2.2.1	purine nucleosidase
K01241	amn	AMP nucleosidase
K01243	mtnN	adenosylhomocysteine nucleosidase
K01244	MTN	5'-methylthioadenosine nucleosidase
K01246	tag	DNA-3-methyladenine glycosylase I
K01247	alkA	DNA-3-methyladenine glycosylase II
K01250	rihA	pyrimidine-specific ribonucleoside hydrolase
K01251	AHCY	adenosylhomocysteinase
K01252	entB	bifunctional isochorismate lyase / aryl carrier protein
K01253	EPHX1	microsomal epoxide hydrolase
K01255	CARP	leucyl aminopeptidase
K01256	pepN	aminopeptidase N
K01258	pepT	tripeptide aminopeptidase
K01259	pip	proline iminopeptidase
K01261	pepA	glutamyl aminopeptidase
K01262	pepP	Xaa-Pro aminopeptidase
K01265	map	methionyl aminopeptidase
K01266	dmpA, dap	D-aminopeptidase
K01267	DNPEP	aspartyl aminopeptidase
K01269	yhfE	aminopeptidase
K01270	pepD	dipeptidase D
K01271	pepQ	Xaa-Pro dipeptidase
K01273	DPEP	membrane dipeptidase
K01274	pepV	beta-Ala-Xaa dipeptidase
K01277	DPP3	dipeptidyl-peptidase III
K01278	DPP4	dipeptidyl-peptidase 4
K01281	pepX	X-Pro dipeptidyl-peptidase
K01283	ACE	peptidyl-dipeptidase A
K01284	dcp	peptidyl-dipeptidase Dcp
K01286	E3.4.16.4	D-alanyl-D-alanine carboxypeptidase
K01295	cpg	glutamate carboxypeptidase
K01297	ldcA	muramoyltetrapeptide carboxypeptidase
K01299	E3.4.17.19	carboxypeptidase Taq
K01302	CPQ	carboxypeptidase Q
K01303	APEH	acylaminoacyl-peptidase
K01304	pcp	pyroglutamyl-peptidase
K01305	iadA	beta-aspartyl-dipeptidase (metallo-type)
K01308	yqgT	g-D-glutamyl-meso-diaminopimelate peptidase
K01318	sspA	glutamyl endopeptidase
K01322	PREP	prolyl oligopeptidase
K01325	KLK1_2	tissue kallikrein
K01337	E3.4.21.50	lysyl endopeptidase
K01338	lon	ATP-dependent Lon protease
K01342	aprE	subtilisin
K01347	iga	IgA-specific serine endopeptidase
K01354	ptrB	oligopeptidase B
K01355	ompT	omptin
K01356	lexA	repressor LexA
K01358	clpP	ATP-dependent Clp protease, protease subunit
K01361	E3.4.21.96	lactocepin
K01364	speB	streptopain
K01372	BLMH, pepC	bleomycin hydrolase
K01387	colA	microbial collagenase
K01390	iga	IgA-specific metalloendopeptidase
K01392	THOP1	thimet oligopeptidase
K01399	lasB	pseudolysin
K01400	nprE	bacillolysin
K01401	aur	aureolysin
K01406	prtC	serralysin
K01407	ptrA	protease III
K01408	IDE	insulysin
K01409	OSGEP, KAE1, QRI7	N6-L-threonylcarbamoyladenine synthase
K01414	prlC	oligopeptidase A
K01419	hslV, clpQ	ATP-dependent HslUV protease, peptidase subunit HslV
K01420	fnr	CRP/FNR family transcriptional regulator, anaerobic regulatory protein
K01421	yhgE	putative membrane protein
K01424	E3.5.1.1	L-asparaginase
K01425	glsA	glutaminase
K01426	E3.5.1.4	amidase
K01428	ureC	urease subunit alpha
K01429	ureB	urease subunit beta
K01430	ureA	urease subunit gamma
K01431	UPB1	beta-ureidopropionase
K01432	AFMID	arylformamidase
K01433	purU	formyltetrahydrofolate deformylase
K01434	pac	penicillin G amidase
K01436	yhaA	amidohydrolase
K01437	ASPA	aspartoacylase
K01438	argE	acetylornithine deacetylase
K01439	dapE	succinyl-diaminopimelate desuccinylase
K01442	cbh	choloylglycine hydrolase
K01443	nagA	N-acetylglucosamine-6-phosphate deacetylase
K01444	AGA	N4-(beta-N-acetylglucosaminyl)-L-asparaginase
K01447	xlyAB	N-acetylmuramoyl-L-alanine amidase
K01448	amiABC	N-acetylmuramoyl-L-alanine amidase
K01449	cwlJ, sleB	N-acetylmuramoyl-L-alanine amidase
K01451	hipO	hippurate hydrolase
K01452	E3.5.1.41	chitin deacetylase
K01455	E3.5.1.49	formamidase
K01457	atzF	allophanate hydrolase
K01458	hutG	N-formylglutamate deformylase
K01460	gsp	glutathionylspermidine amidase/synthetase
K01461	E3.5.1.82	N-acyl-D-glutamate deacylase
K01462	PDF, def	peptide deformylase
K01464	DPYS	dihydropyrimidinase
K01465	URA4	dihydroorotase
K01466	allB	allantoinase
K01467	ampC	beta-lactamase class C
K01468	hutI	imidazolonepropionase
K01469	OPLAH	5-oxoprolinase (ATP-hydrolysing)
K01470	E3.5.2.10	creatinine amidohydrolase
K01473	hyuA	N-methylhydantoinase A
K01474	hyuB	N-methylhydantoinase B
K01476	E3.5.3.1	arginase
K01477	alc	allantoicase
K01478	arcA	arginine deiminase
K01479	hutG	formiminoglutamase
K01480	speB	agmatinase
K01482	DDAH, ddaH	dimethylargininase
K01483	allA	ureidoglycolate lyase
K01484	astB	succinylarginine dihydrolase
K01485	codA	cytosine/creatinine deaminase
K01486	ade	adenine deaminase
K01487	guaD	guanine deaminase
K01488	add	adenosine deaminase
K01489	cdd	cytidine deaminase
K01491	folD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase
K01492	purNH	phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase
K01493	comEB	dCMP deaminase
K01494	dcd	dCTP deaminase
K01495	GCH1	GTP cyclohydrolase IA
K01496	hisI	phosphoribosyl-AMP cyclohydrolase
K01497	ribA	GTP cyclohydrolase II
K01499	mch	methenyltetrahydromethanopterin cyclohydrolase
K01501	E3.5.5.1	nitrilase
K01502	E3.5.5.7	aliphatic nitrilase
K01505	E3.5.99.7	1-aminocyclopropane-1-carboxylate deaminase
K01507	ppa	inorganic pyrophosphatase
K01512	acyP	acylphosphatase
K01515	nudF	ADP-ribose pyrophosphatase
K01518	NUDT2	bis(5'-nucleosidyl)-tetraphosphatase
K01519	rdgB	XTP/dITP diphosphohydrolase
K01520	dut	dUTP pyrophosphatase
K01521	cdh	CDP-diacylglycerol pyrophosphatase
K01523	hisE	phosphoribosyl-ATP pyrophosphohydrolase
K01524	ppx-gppA	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
K01525	apaH	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
K01531	mgtA, mgtB	P-type Mg2+ transporter
K01533	copB	P-type Cu2+ transporter
K01534	zntA	Zn2+/Cd2+-exporting ATPase
K01535	PMA1	H+-transporting ATPase
K01537	ATP2C	P-type Ca2+ transporter type 2C
K01539	ATP1A	sodium/potassium-transporting ATPase subunit alpha
K01545	kdpF	potassium-transporting ATPase KdpF subunit
K01546	kdpA	potassium-transporting ATPase potassium-binding subunit
K01547	kdpB	potassium-transporting ATPase ATP-binding subunit
K01548	kdpC	potassium-transporting ATPase KdpC subunit
K01551	arsA, ASNA1, GET3	arsenite/tail-anchored protein-transporting ATPase
K01555	FAH	fumarylacetoacetase
K01556	KYNU	kynureninase
K01560	E3.8.1.2	2-haloacid dehalogenase
K01561	dehH	haloacetate dehalogenase
K01563	dhaA	haloalkane dehalogenase
K01565	SGSH	N-sulfoglucosamine sulfohydrolase
K01567	pdaA	peptidoglycan-N-acetylmuramic acid deacetylase
K01569	oxdD	oxalate decarboxylase
K01571	oadA	oxaloacetate decarboxylase (Na+ extruding) subunit alpha
K01573	oadG	oxaloacetate decarboxylase (Na+ extruding) subunit gamma
K01574	adc	acetoacetate decarboxylase
K01575	alsD	acetolactate decarboxylase
K01576	mdlC	benzoylformate decarboxylase
K01577	oxc	oxalyl-CoA decarboxylase
K01579	panD	aspartate 1-decarboxylase
K01580	E4.1.1.15	glutamate decarboxylase
K01581	E4.1.1.17	ornithine decarboxylase
K01582	E4.1.1.18	lysine decarboxylase
K01583	E4.1.1.19	arginine decarboxylase
K01584	adiA	arginine decarboxylase
K01585	speA	arginine decarboxylase
K01586	lysA	diaminopimelate decarboxylase
K01588	purE	5-(carboxyamino)imidazole ribonucleotide mutase
K01589	purK	5-(carboxyamino)imidazole ribonucleotide synthase
K01590	hdc	histidine decarboxylase
K01591	pyrF	orotidine-5'-phosphate decarboxylase
K01595	ppc	phosphoenolpyruvate carboxylase
K01596	E4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)
K01597	MVD	diphosphomevalonate decarboxylase
K01598	PPCDC	phosphopantothenoylcysteine decarboxylase
K01599	hemE	uroporphyrinogen decarboxylase
K01601	rbcL	ribulose-bisphosphate carboxylase large chain
K01607	pcaC	4-carboxymuconolactone decarboxylase
K01608	gcl	tartronate-semialdehyde synthase
K01609	trpC	indole-3-glycerol phosphate synthase
K01610	E4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)
K01611	speD	S-adenosylmethionine decarboxylase
K01613	psd	phosphatidylserine decarboxylase
K01615	gcdA	glutaconyl-CoA decarboxylase subunit alpha
K01616	kgd	multifunctional 2-oxoglutarate metabolism enzyme
K01617	dmpH	2-oxo-3-hexenedioate decarboxylase
K01619	deoC	deoxyribose-phosphate aldolase
K01620	ltaE	threonine aldolase
K01621	xfp	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
K01622	NA	fructose 1
K01623	ALDO	fructose-bisphosphate aldolase, class I
K01624	FBA	fructose-bisphosphate aldolase, class II
K01625	eda	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
K01626	E2.5.1.54	3-deoxy-7-phosphoheptulonate synthase
K01627	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)
K01628	fucA	L-fuculose-phosphate aldolase
K01629	rhaD	rhamnulose-1-phosphate aldolase
K01630	garL	2-dehydro-3-deoxyglucarate aldolase
K01631	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase
K01633	folB	7,8-dihydroneopterin aldolase/epimerase/oxygenase
K01635	lacD	tagatose 1,6-diphosphate aldolase
K01637	E4.1.3.1	isocitrate lyase
K01638	aceB	malate synthase
K01639	E4.1.3.3	N-acetylneuraminate lyase
K01640	HMGCL	hydroxymethylglutaryl-CoA lyase
K01641	HMGCS	hydroxymethylglutaryl-CoA synthase
K01643	citF	citrate lyase subunit alpha / citrate CoA-transferase
K01644	citE	citrate lyase subunit beta / citryl-CoA lyase
K01646	citD	citrate lyase subunit gamma (acyl carrier protein)
K01647	CS	citrate synthase
K01649	leuA	2-isopropylmalate synthase
K01652	E2.2.1.6L	acetolactate synthase I/II/III large subunit
K01653	E2.2.1.6S	acetolactate synthase I/III small subunit
K01654	neuB	N-acetylneuraminate synthase
K01657	trpE	anthranilate synthase component I
K01658	trpG	anthranilate synthase component II
K01659	prpC	2-methylcitrate synthase
K01661	menB	naphthoate synthase
K01662	dxs	1-deoxy-D-xylulose-5-phosphate synthase
K01663	HIS7	imidazole glycerol-phosphate synthase
K01664	pabA	para-aminobenzoate synthetase component II
K01665	pabB	para-aminobenzoate synthetase component I
K01666	mhpE	4-hydroxy 2-oxovalerate aldolase
K01667	tnaA	tryptophanase
K01668	E4.1.99.2	tyrosine phenol-lyase
K01669	phr, PHR1	deoxyribodipyrimidine photo-lyase
